word,wlen,firsttime,totaltime,word,surprisal
aspiraties; ,12,249.2,594.2,aspiraties,17.567629341173124
zijn ,5,98.9,125.5,zijn,17.567629341173124
gedichten ,10,168.5,212.8,gedichten,17.567629341173124
hadden ,7,173.7,261.0,hadden,17.567629341173124
echter ,7,197.2,281.4,echter,17.567629341173124
nooit ,6,128.6,245.9,nooit,17.567629341173124
enig ,5,180.9,241.3,enig,17.567629341173124
noemenswaardig ,15,228.8,625.8,noemenswaardig,17.567629341173124
succes. ,8,235.0,268.7,succes,17.567629341173124
John ,5,149.0,149.0,john,25.26048615415301
was ,4,158.3,215.1,was,17.567629341173124
enige ,6,134.0,248.4,enige,17.567629341173124
tijd ,5,169.3,273.5,tijd,17.567629341173124
advocaat ,9,220.3,314.6,advocaat,17.567629341173124
"geweest, ",9,131.9,169.4,geweest,17.567629341173124
maar ,5,160.3,271.1,maar,17.567629341173124
hij ,4,71.1,87.2,hij,17.567629341173124
had ,4,111.8,157.1,had,17.567629341173124
uiteindelijk ,13,170.2,277.6,uiteindelijk,17.567629341173124
gekozen ,8,213.2,274.7,gekozen,17.567629341173124
voor ,5,46.9,92.5,voor,17.567629341173124
het ,4,119.8,150.9,het,17.567629341173124
leven ,6,142.5,207.6,leven,17.567629341173124
van ,4,33.9,50.5,van,17.567629341173124
landjonker. ,12,272.8,1027.8,landjonker,17.573558436298875
Twee ,5,153.3,234.5,twee,25.26048615415301
jaar ,5,133.8,162.2,jaar,17.567629341173124
geleden ,8,167.6,232.2,geleden,17.567629341173124
was ,4,136.5,136.5,was,17.567629341173124
hij ,4,68.5,103.9,hij,17.567629341173124
getrouwd ,9,150.7,324.2,getrouwd,17.567629341173124
en ,3,58.0,74.1,en,17.567629341173124
met ,4,162.4,292.2,met,17.567629341173124
zijn ,5,138.8,172.5,zijn,17.567629341173124
vrouw ,6,149.3,212.0,vrouw,17.567629341173124
op ,3,59.3,83.0,op,17.567629341173124
Styles ,7,193.8,312.5,styles,17.567629341173124
komen ,6,145.6,226.0,komen,17.567629341173124
"wonen, ",7,240.5,299.5,wonen,17.567629341173124
hoewel ,7,186.3,287.7,hoewel,17.567629341173124
ik ,3,93.2,124.9,ik,17.567629341173124
een ,4,175.4,260.6,een,17.567629341173124
stil ,5,196.4,245.9,stil,17.567629341173124
vermoeden ,10,168.9,236.5,vermoeden,17.567629341173124
had ,4,75.0,75.0,had,17.567629341173124
dat ,4,126.8,162.5,dat,17.567629341173124
hij ,4,96.3,175.5,hij,17.567629341173124
liever ,7,117.2,163.4,liever,17.567629341173124
een ,4,44.9,44.9,een,17.567629341173124
grotere ,8,157.7,291.9,grotere,17.567629341173124
toelage ,8,207.6,319.7,toelage,17.567629341173124
van ,4,71.6,71.6,van,17.567629341173124
zijn ,5,129.1,204.8,zijn,17.567629341173124
moeder ,7,122.0,153.9,moeder,17.567629341173124
zou ,4,84.3,98.5,zou,17.567629341173124
hebben ,7,154.2,209.2,hebben,17.567629341173124
"gehad, ",7,165.7,242.1,gehad,17.567629341173124
die ,4,111.7,137.1,die,17.567629341173124
hem ,4,56.7,56.7,hem,17.567629341173124
in ,3,60.0,87.9,in,17.567629341173124
staat ,6,158.0,239.5,staat,17.567629341173124
zou ,4,68.8,68.8,zou,17.567629341173124
stellen ,8,219.0,308.4,stellen,17.567629341173124
op ,3,11.1,11.1,op,17.5705969346105
zichzelf ,9,217.7,450.9,zichzelf,17.567629341173124
te ,3,163.5,200.5,te,17.567629341173124
wonen. ,7,61.5,89.7,wonen,17.567629341173124
Maar ,5,151.1,177.9,maar,25.26048615415301
mevrouw ,8,174.2,213.4,mevrouw,17.567629341173124
Cavendish ,10,173.0,292.8,cavendish,17.567629341173124
was ,4,67.4,67.4,was,17.567629341173124
iemand ,7,196.3,235.4,iemand,17.567629341173124
die ,4,63.5,63.5,die,17.567629341173124
graag ,6,203.5,203.5,graag,17.567629341173124
haar ,5,137.8,137.8,haar,17.567629341173124
eigen ,6,194.4,194.4,eigen,17.567629341173124
zin ,4,58.0,58.0,zin,17.567629341173124
