word,wlen,firsttime,totaltime,word,sent_id,sent_pos,word_length,surprisal,entropy,entry,probability
"friends, ",9,282.22222222222223,367.22222222222223,friends,5,5,7,6.5484479363051555,1.3277705334536807,7.329772827711263,0.0014323369522028866
I ,2,48.888888888888886,48.888888888888886,i,6,6,1,5.437483745275295,1.3277705334536807,6.977798844191356,0.004350416265352791
was ,4,212.11111111111111,212.11111111111111,was,7,7,3,2.7077169621577064,1.3277705334536807,5.303104018226801,0.06668888629831793
trying ,7,133.88888888888889,180.22222222222223,trying,8,8,6,6.3494274699427535,1.3277705334536807,6.511084889382033,0.0017477474878373844
to ,3,29.444444444444443,29.444444444444443,to,9,9,2,0.49585649176728813,1.3277705334536807,4.774140793184366,0.6090490383527611
make ,5,171.22222222222223,171.22222222222223,make,10,10,4,4.2293396167008375,1.3277705334536807,6.567673216488289,0.014562003877988974
up ,3,97.11111111111111,97.11111111111111,up,11,11,2,3.7186998573583367,1.3277705334536807,5.509274868585672,0.02426549595174036
my ,3,177.44444444444446,177.44444444444446,my,12,12,2,5.93709765013838,1.3277705334536807,4.9043890175223135,0.0026396798182673487
mind ,5,152.66666666666666,161.44444444444446,mind,13,13,4,4.846105134523681,1.3277705334536807,7.050128465477909,0.007858927481996932
what ,5,145.55555555555554,180.33333333333334,what,14,14,4,6.192084293018247,1.3277705334536807,7.927634636861608,0.0020455587631019382
to ,3,133.44444444444446,133.44444444444446,to,9,15,2,3.9620541715163937,1.3277705334536807,5.406699233793386,0.019023995577249955
"do, ",4,97.55555555555556,113.55555555555556,do,16,16,2,4.242505531759112,1.3277705334536807,6.567673216488289,0.014371538349624647
when ,5,127.66666666666667,143.77777777777777,when,17,17,4,5.684489727568055,1.3277705334536807,4.93305882377735,0.003398266849179884
I ,2,265.55555555555554,265.55555555555554,i,6,18,1,3.193999596219179,1.3277705334536807,5.201486915845427,0.04100752894960153
ran ,4,111.55555555555556,124.0,ran,19,19,3,6.807142881720496,1.3277705334536807,5.303104018226801,0.0011058479289981814
across ,7,257.44444444444446,421.44444444444446,across,20,20,6,5.93798760941526,1.3277705334536807,9.04127630650258,0.0026373316557645734
John ,5,115.22222222222223,323.55555555555554,john,21,21,4,12.876858084194547,1.3277705334536807,5.108371546720983,2.5565340994170372e-06
Cavendish. ,11,237.0,649.7777777777778,cavendish,22,22,9,12.157093963592384,1.3277705334536807,8.651432862942432,5.250989811579483e-06
I ,2,17.22222222222222,17.22222222222222,i,0,0,1,-1.0618397718538803,-2.7377810953615067,562.2480449059623,2.8916861412081296
had ,4,240.0,264.3333333333333,had,1,1,3,3.493406465306627,-2.7377810953615067,5.303104018226801,0.030397148773722456
seen ,5,177.11111111111111,271.22222222222223,seen,2,2,4,5.397054454031492,-2.7377810953615067,5.623510590329287,0.004529904352124115
very ,5,176.55555555555554,237.55555555555554,very,3,3,4,12.721067565688193,-2.7377810953615067,6.684938275307361,2.987518149172756e-06
little ,7,154.11111111111111,200.11111111111111,little,4,4,6,4.308982087340658,-2.7377810953615067,6.673709109742384,0.013447230736359766
of ,3,90.33333333333333,113.0,of,5,5,2,5.439803570028046,-2.7377810953615067,7.231857809514862,0.00434033575904045
him ,4,181.33333333333334,238.11111111111111,him,6,6,3,6.787558057443546,-2.7377810953615067,6.480488728684162,0.0011277192401723901
for ,4,164.66666666666666,195.33333333333334,for,7,7,3,3.905083227824752,-2.7377810953615067,5.1223766192463405,0.020139278273212786
some ,5,184.55555555555554,252.22222222222223,some,8,8,4,5.183963670174456,-2.7377810953615067,5.980942642187526,0.0056057430047917476
years. ,7,177.11111111111111,234.33333333333334,years,9,9,5,7.252861141815271,-2.7377810953615067,6.514881892301837,0.0007081453832230502
"Indeed, ",8,215.11111111111111,256.0,indeed,0,0,6,4.082047821262164,0.23328201543293253,562.2480449059623,0.016872877612202023
I ,2,61.888888888888886,77.77777777777777,i,1,1,1,11.650301955721014,0.23328201543293253,9.882067692411,8.716419991980893e-06
had ,4,156.0,232.44444444444446,had,2,2,3,3.493406465306627,0.23328201543293253,5.303104018226801,0.030397148773722456
never ,6,191.44444444444446,302.1111111111111,never,3,3,5,5.08693346137839,0.23328201543293253,5.623510590329287,0.006176932676564319
known ,6,189.33333333333334,305.44444444444446,known,4,4,5,12.802977140208545,0.23328201543293253,7.086916025055241,2.752565587739601e-06
him ,4,192.33333333333334,216.77777777777777,him,5,5,3,5.461814703621698,0.23328201543293253,6.443342770414145,0.004245843801362155
particularly ,13,250.55555555555554,553.2222222222222,particularly,6,6,12,7.730989404724586,0.23328201543293253,5.1223766192463405,0.0004390095440359669
well. ,6,170.33333333333334,191.11111111111111,well,7,7,4,11.994541762563657,0.23328201543293253,8.767760289970488,6.177840615242322e-06
He ,3,89.11111111111111,89.11111111111111,he,0,0,2,-0.5098509159872645,-0.10243154541710314,562.2480449059623,1.6650429451576678
was ,4,277.77777777777777,373.0,was,1,1,3,2.297944882153034,-0.10243154541710314,5.123936776360428,0.10046509932904985
a ,2,125.0,133.44444444444446,a,2,2,1,2.5747031933426507,-0.10243154541710314,6.511084889382033,0.07617642911488617
good ,5,148.11111111111111,263.44444444444446,good,3,3,4,4.91880318775058,-0.10243154541710314,7.842737769283253,0.007307871765572126
fifteen ,8,227.22222222222223,496.3333333333333,fifteen,4,4,7,13.194838711406941,-0.10243154541710314,6.540454123500986,1.8601773758849794e-06
years ,6,225.44444444444446,602.0,years,5,5,5,4.410785216148948,-0.10243154541710314,11.108995220422203,0.012145637633841464
my ,3,141.88888888888889,347.3333333333333,my,6,6,2,7.071969335748793,-0.10243154541710314,4.933950565138353,0.000848560362350697
"senior, ",8,199.77777777777777,441.6666666666667,senior,7,7,6,6.454983282044422,-0.10243154541710314,7.050128465477909,0.0015726655730666367
for ,4,182.44444444444446,232.88888888888889,for,8,8,3,12.23291069022598,-0.10243154541710314,8.328168791986778,4.867594476531936e-06
one ,4,101.0,146.33333333333334,one,9,9,3,5.6947723248193975,-0.10243154541710314,5.980942642187526,0.003363502878078274
"thing, ",7,131.33333333333334,256.0,thing,10,10,5,4.357178249699417,-0.10243154541710314,5.118390386732465,0.012814495989127152
though ,7,258.77777777777777,484.6666666666667,though,11,11,6,5.961193717918327,-0.10243154541710314,6.464795263902754,0.0025768341222861414
he ,3,88.66666666666667,102.11111111111111,he,0,12,2,3.345072112089617,-0.10243154541710314,6.8266321411543895,0.035257672561495826
hardly ,7,176.22222222222223,361.22222222222223,hardly,13,13,6,14.769129113705532,-0.10243154541710314,5.123936776360428,3.853441084353917e-07
looked ,7,171.0,400.0,looked,14,14,6,11.520868124089933,-0.10243154541710314,10.54291440417111,9.920888004512587e-06
his ,4,127.22222222222223,199.88888888888889,his,15,15,3,11.942462319335837,-0.10243154541710314,8.431435560763408,6.508104449498039e-06
years. ,7,37.333333333333336,81.44444444444444,years,5,16,5,7.226264657388984,-0.10243154541710314,7.258295371326099,0.000727232257643614
As ,3,181.0,230.44444444444446,as,0,0,2,0.048494548920259006,0.8668270539337606,562.2480449059623,0.9526625323311111
a ,2,100.55555555555556,149.77777777777777,a,1,1,1,1.9591201621360919,0.8668270539337606,5.4696768494136,0.14098240802949963
"boy, ",5,152.22222222222223,294.6666666666667,boy,2,2,3,8.019347793486794,0.8668270539337606,7.842737769283253,0.00032903455132543303
"though, ",8,237.44444444444446,463.22222222222223,though,3,3,6,11.762106508091332,0.8668270539337606,9.316335042358572,7.794388485683935e-06
I ,2,84.55555555555556,84.55555555555556,i,4,4,1,3.8439985808891097,0.8668270539337606,6.8266321411543895,0.02140782903954609
had ,4,156.0,219.22222222222223,had,5,5,3,3.493406465306627,0.8668270539337606,5.303104018226801,0.030397148773722456
often ,6,172.44444444444446,240.0,often,6,6,5,14.366360033819573,0.8668270539337606,5.623510590329287,5.764599135540714e-07
stayed ,7,210.77777777777777,338.3333333333333,stayed,7,7,6,12.339967722013704,0.8668270539337606,8.251968369404445,4.373409172413534e-06
