word,wlen,firsttime,totaltime
flink ,6,218.3,275.4
beste ,6,298.2,493.6
Evie! ,6,184.3,268.8
Nou ,4,139.8,139.8
niet ,5,140.4,151.9
direct ,7,189.7,253.0
jong ,5,138.1,198.6
en ,3,31.4,31.4
"knap, ",6,105.7,105.7
maar ,5,94.3,94.3
eentje ,7,165.0,197.9
waar ,5,128.0,133.2
je ,3,68.7,68.7
van ,4,149.9,149.9
op ,3,59.0,59.0
aan ,4,198.4,261.9
kunt. ,6,27.9,27.9
Maar ,5,193.4,243.4
wat ,4,98.1,138.8
wou ,4,156.3,210.9
je ,3,109.5,170.9
eigenlijk ,10,149.2,221.0
zeggen? ,8,144.9,209.4
O ,2,71.1,71.1
"ja, ",4,157.1,179.6
over ,5,243.5,345.7
die ,4,141.8,174.5
vent! ,6,85.1,85.1
Hij ,4,106.9,119.6
kwam ,5,114.9,114.9
uit ,4,124.0,124.0
het ,4,107.5,146.6
niets ,6,63.3,63.3
opdagen ,8,167.9,263.0
met ,4,72.6,72.6
het ,4,125.4,147.9
smoesje ,8,177.8,244.8
dat ,4,79.0,79.0
hij ,4,97.2,97.2
een ,4,76.6,76.6
achterneef ,11,250.4,345.6
of ,3,41.9,64.8
zoiets ,7,179.2,252.8
was ,4,105.3,105.3
van ,4,177.3,231.0
"Evie, ",6,193.9,209.9
hoewel ,7,185.5,224.9
zij ,4,72.3,97.6
er ,3,67.0,67.0
niet ,5,216.7,304.2
erg ,4,149.2,209.3
op ,3,92.1,92.1
gesteld ,8,184.9,289.2
leek ,5,106.1,198.5
de ,3,88.4,101.8
verwantschap ,13,246.0,336.9
te ,3,42.8,42.8
erkennen. ,10,229.3,355.5
Iedereen ,9,210.9,321.8
kan ,4,148.4,164.0
zien ,5,189.5,239.2
dat ,4,55.3,55.3
die ,4,159.7,159.7
vent ,5,125.5,187.3
helemaal ,9,142.1,274.6
uit ,4,116.1,116.1
de ,3,116.9,156.9
toon ,5,174.2,174.2
valt. ,6,110.7,110.7
Hij ,4,46.8,46.8
heeft ,6,186.1,229.1
een ,4,61.7,61.7
pikzwarte ,10,234.0,370.0
baard ,6,259.8,330.5
en ,3,99.0,99.0
draagt ,7,184.9,194.7
"lakschoenen, ",13,189.8,452.8
weer ,5,207.0,273.6
of ,3,165.1,183.1
geen ,5,143.3,224.6
weer! ,6,133.5,178.3
Maar ,5,224.7,319.2
ma ,3,193.6,217.1
had ,4,219.7,276.2
meteen ,7,254.1,360.2
heel ,5,201.9,217.8
veel ,5,131.5,177.0
met ,4,220.8,280.5
hem ,4,135.7,251.6
op ,3,101.8,169.0
en ,3,155.5,180.2
nam ,4,117.7,117.7
hem ,4,88.8,88.8
in ,3,137.4,137.4
dienst ,7,124.9,170.2
als ,4,77.5,120.0
weet ,5,182.6,182.6
toch ,5,70.1,84.3
dat ,4,90.8,106.6
ze ,3,87.4,108.5
altijd ,7,182.0,263.4
wel ,4,141.0,169.0
honderd ,8,144.6,174.4
verenigingen ,13,183.3,491.8
leidde? ,8,185.4,417.1
Ik ,3,136.8,152.8
knikte. ,8,212.5,311.4
Door ,5,173.4,232.9
de ,3,156.7,192.2
oorlog ,7,111.3,198.2
zijn ,5,188.8,258.0
het ,4,196.6,213.8
er ,3,110.3,212.8
nu ,3,54.9,75.0
geen ,5,150.7,191.5
honderden ,10,155.5,245.4
maar ,5,109.9,168.2
duizenden. ,11,225.4,314.6
Geen ,5,171.7,206.3
wonder ,7,242.0,276.8
dat ,4,122.3,172.4
die ,4,74.4,74.4
kerel ,6,146.0,154.1
haar ,5,151.6,151.6
goed ,5,206.1,256.1
te ,3,122.8,122.8
pas ,4,179.1,216.5
kwam! ,6,138.7,171.2
Maar ,5,122.8,122.8
je ,3,91.8,91.8
snapt ,6,145.7,164.1
wel ,4,94.5,108.9
wat ,4,66.9,66.9
een ,4,139.7,139.7
klap ,5,195.4,200.5
in ,3,76.6,100.5
't ,3,65.1,65.1
gezicht ,8,217.9,234.8
het ,4,53.8,53.8
voor ,5,167.7,225.0
ons ,4,154.6,175.5
"was, ",5,101.4,129.0
toen ,5,105.0,166.5
ze ,3,85.5,85.5
drie ,5,106.3,161.8
maanden ,8,117.9,139.6
geleden ,8,169.3,193.1
plotseling ,11,203.6,229.9
aankondigde ,12,229.3,267.8
dat ,4,52.6,52.6
zij ,4,73.4,73.4
en ,3,133.4,189.0
Alfred ,7,187.8,324.2
zich ,5,145.8,167.3
verloofd ,9,173.7,259.8
hadden! ,8,244.7,286.6
Die ,4,102.5,106.4
vent ,5,120.5,129.9
is ,3,70.9,70.9
minstens ,9,210.2,224.4
twintig ,8,196.9,237.7
jaar ,5,126.2,165.4
jonger ,7,181.5,247.8
dan ,4,36.7,36.7
zij! ,5,178.2,178.2
Hij ,4,162.9,253.4
is ,3,92.1,150.0
gewoon ,7,150.9,286.9
een ,4,15.9,15.9
onbeschaamde ,13,242.6,508.3
fortuinzoeker; ,15,240.7,497.1
maar ,5,127.6,183.0
wat ,4,145.0,163.2
wil ,4,182.2,231.5
is ,3,177.9,213.2
haar ,5,108.1,126.5
eigen ,6,202.3,270.9
"baas, ",6,119.0,136.4
en ,3,129.3,166.9
ze ,3,79.1,79.1
is ,3,131.1,167.5
met ,4,133.3,244.6
hem ,4,107.5,107.5
getrouwd. ,10,155.6,223.6
Het ,4,154.0,174.7
moet ,5,133.0,216.4
voor ,5,80.8,80.8
jullie ,7,222.6,255.7
wel ,4,41.8,41.8
een ,4,163.4,163.4
moeilijke ,10,104.1,104.1
situatie ,9,188.4,267.2
zijn. ,6,110.5,143.6
Moeilijk! ,10,163.6,371.8
Een ,4,28.9,28.9
onmogelijke ,12,137.6,318.4
"situatie, ",10,170.7,255.4
dat ,4,141.5,141.5
is ,3,149.9,238.6
het! ,5,56.7,94.1
Zo ,3,164.3,164.3
kwam ,5,118.7,118.7
het ,4,111.0,140.7
dat ,4,80.6,94.8
"ik, ",4,101.4,117.3
drie ,5,134.2,152.8
dagen ,6,140.7,190.4
"later, ",7,79.1,93.4
uit ,4,80.9,136.7
de ,3,87.0,87.0
trein ,6,187.0,187.0
stapte ,7,150.5,150.5
in ,3,71.5,71.5
Styles ,7,206.8,342.6
St. ,4,178.8,268.2
"Mary, ",6,177.4,284.6
een ,4,137.1,145.0
belachelijk ,12,175.6,392.0
klein ,6,152.0,230.0
stationnetje ,13,226.0,393.0
zonder ,7,213.3,275.7
enige ,6,173.2,190.2
duidelijke ,11,247.0,491.7
"bestaansgrond, ",15,225.3,592.2
gelegen ,8,212.7,255.2
temidden ,9,225.2,400.6
van ,4,42.6,99.0
groene ,7,211.1,306.7
velden ,7,192.4,207.0
en ,3,14.5,14.5
